dateTime,sensor,sensorLatitude,sensorLongitude,sensorBattery,airTemperature,airHumidity,soilTemperature
2026-06-01 00:08:36,lht65-02,52.25,5.97326,3.023,15.4,93.1,22.06
2026-06-01 00:18:43,lht65-02,52.25,5.97326,3.023,15.52,93.3,22.0
2026-06-01 00:28:43,lht65-02,52.25,5.97326,3.023,15.6,93.5,21.93
2026-06-01 00:38:36,lht65-02,52.25,5.97326,3.023,15.63,93.3,21.87
2026-06-01 00:48:43,lht65-02,52.25,5.97326,3.025,15.61,92.9,21.81
2026-06-01 00:58:36,lht65-02,52.25,5.97326,3.023,15.61,93.0,21.75
2026-06-01 01:08:50,lht65-02,52.25,5.97326,3.023,15.68,93.3,21.68
2026-06-01 01:18:43,lht65-02,52.25,5.97326,3.021,15.72,93.6,21.62
2026-06-01 01:28:43,lht65-02,52.25,5.97326,3.023,15.81,93.7,21.56
2026-06-01 01:38:36,lht65-02,52.25,5.97326,3.023,15.85,93.8,21.5
2026-06-01 01:48:36,lht65-02,52.25,5.97326,3.023,15.88,93.8,21.5
2026-06-01 01:58:36,lht65-02,52.25,5.97326,3.023,15.81,93.6,21.43
2026-06-01 02:08:43,lht65-02,52.25,5.97326,3.021,15.74,93.4,21.37
2026-06-01 02:18:43,lht65-02,52.25,5.97326,3.023,15.55,92.8,21.31
2026-06-01 02:28:36,lht65-02,52.25,5.97326,3.023,15.2,91.3,21.25
2026-06-01 02:38:36,lht65-02,52.25,5.97326,3.023,14.77,90.0,21.25
2026-06-01 02:48:36,lht65-02,52.25,5.97326,3.023,14.31,89.5,21.18
2026-06-01 02:58:36,lht65-02,52.25,5.97326,3.019,13.97,89.7,21.12
2026-06-01 03:08:36,lht65-02,52.25,5.97326,3.019,13.61,90.0,21.06
2026-06-01 03:18:36,lht65-02,52.25,5.97326,3.019,13.28,90.3,21.0
2026-06-01 03:28:36,lht65-02,52.25,5.97326,3.019,13.01,90.7,20.93
2026-06-01 03:38:36,lht65-02,52.25,5.97326,3.019,12.81,90.8,20.87
2026-06-01 03:58:36,lht65-02,52.25,5.97326,3.019,12.8,91.8,20.75
2026-06-01 04:08:36,lht65-02,52.25,5.97326,3.019,13.34,92.3,20.68
2026-06-01 04:18:36,lht65-02,52.25,5.97326,3.019,14.31,92.0,20.62
2026-06-01 04:28:36,lht65-02,52.25,5.97326,3.019,15.18,90.7,20.56
2026-06-01 04:38:36,lht65-02,52.25,5.97326,3.019,15.75,90.8,20.5
2026-06-01 04:58:35,lht65-02,52.25,5.97326,3.019,16.69,90.7,20.43
2026-06-01 05:08:35,lht65-02,52.25,5.97326,3.019,17.29,90.4,20.37
2026-06-01 05:28:42,lht65-02,52.25,5.97326,3.021,19.19,89.4,20.37
2026-06-01 05:38:42,lht65-02,52.25,5.97326,3.023,19.78,87.5,20.37
2026-06-01 05:48:35,lht65-02,52.25,5.97326,3.023,20.83,87.7,20.37
2026-06-01 05:58:35,lht65-02,52.25,5.97326,3.023,22.28,85.7,20.43
2026-06-01 06:08:35,lht65-02,52.25,5.97326,3.023,23.33,82.5,20.43
2026-06-01 06:18:35,lht65-02,52.25,5.97326,3.023,24.42,80.5,20.5
2026-06-01 06:38:35,lht65-02,52.25,5.97326,3.014,27.41,78.0,20.56
2026-06-01 06:48:35,lht65-02,52.25,5.97326,3.014,28.47,74.2,20.68
2026-06-01 06:58:42,lht65-02,52.25,5.97326,3.018,28.64,73.7,20.75
2026-06-01 07:08:42,lht65-02,52.25,5.97326,3.016,28.92,74.2,20.87
2026-06-01 07:18:42,lht65-02,52.25,5.97326,3.021,29.9,72.0,20.93
2026-06-01 07:28:35,lht65-02,52.25,5.97326,3.016,31.01,63.7,21.06
2026-06-01 07:38:42,lht65-02,52.25,5.97326,3.019,31.64,61.3,21.18
2026-06-01 07:48:35,lht65-02,52.25,5.97326,3.021,31.34,59.6,21.31
2026-06-01 08:08:35,lht65-02,52.25,5.97326,3.019,32.47,55.0,21.62
2026-06-01 08:18:35,lht65-02,52.25,5.97326,3.018,32.54,51.7,21.75
2026-06-01 08:38:35,lht65-02,52.25,5.97326,3.019,30.16,46.6,22.06
2026-06-01 08:58:42,lht65-02,52.25,5.97326,3.019,30.83,51.9,22.37
2026-06-01 09:08:42,lht65-02,52.25,5.97326,3.019,31.16,52.0,22.43
2026-06-01 09:28:42,lht65-02,52.25,5.97326,3.021,31.3,39.3,22.68
2026-06-01 09:38:35,lht65-02,52.25,5.97326,3.019,30.37,39.7,22.87
2026-06-01 09:48:42,lht65-02,52.25,5.97326,3.019,28.44,46.1,22.93
2026-06-01 10:08:42,lht65-02,52.25,5.97326,3.021,29.22,56.9,23.12
2026-06-01 10:18:35,lht65-02,52.25,5.97326,3.019,29.23,55.0,23.18
2026-06-01 10:28:42,lht65-02,52.25,5.97326,3.021,28.64,57.8,23.31
2026-06-01 10:48:35,lht65-02,52.25,5.97326,3.01,30.43,39.2,23.37
2026-06-01 11:08:35,lht65-02,52.25,5.97326,3.019,30.13,49.1,23.5
2026-06-01 11:28:35,lht65-02,52.25,5.97326,3.019,30.82,44.2,23.68
2026-06-01 11:38:35,lht65-02,52.25,5.97326,3.019,29.48,53.3,23.75
2026-06-01 11:48:35,lht65-02,52.25,5.97326,3.019,29.35,57.2,23.81
2026-06-01 11:58:35,lht65-02,52.25,5.97326,3.019,29.45,57.1,23.87
2026-06-01 12:08:35,lht65-02,52.25,5.97326,3.019,29.49,57.0,23.93
2026-06-01 12:18:35,lht65-02,52.25,5.97326,3.019,29.46,59.3,23.93
2026-06-01 12:28:35,lht65-02,52.25,5.97326,3.019,29.81,55.6,23.93
2026-06-01 12:38:35,lht65-02,52.25,5.97326,3.019,30.82,59.3,24.0
2026-06-01 12:48:35,lht65-02,52.25,5.97326,3.019,31.41,49.9,24.0
2026-06-01 12:58:35,lht65-02,52.25,5.97326,3.019,31.56,47.2,24.06
2026-06-01 13:08:42,lht65-02,52.25,5.97326,3.019,31.94,45.7,24.12
2026-06-01 13:28:35,lht65-02,52.25,5.97326,3.019,32.19,39.4,24.18
2026-06-01 13:38:35,lht65-02,52.25,5.97326,3.019,32.39,41.9,24.25
2026-06-01 13:48:35,lht65-02,52.25,5.97326,3.019,32.47,44.0,24.31
2026-06-01 14:08:35,lht65-02,52.25,5.97326,3.019,30.82,41.9,24.5
2026-06-01 14:18:34,lht65-02,52.25,5.97326,3.019,29.94,42.9,24.56
2026-06-01 14:28:34,lht65-02,52.25,5.97326,3.019,29.38,48.0,24.62
2026-06-01 14:48:34,lht65-02,52.25,5.97326,3.016,33.18,39.5,24.68
2026-06-01 14:58:34,lht65-02,52.25,5.97326,3.019,32.65,38.3,24.75
2026-06-01 15:08:34,lht65-02,52.25,5.97326,3.019,32.39,40.1,24.75
2026-06-01 15:18:41,lht65-02,52.25,5.97326,3.019,31.19,40.6,24.81
2026-06-01 15:28:34,lht65-02,52.25,5.97326,3.019,30.59,49.3,24.87
2026-06-01 15:38:34,lht65-02,52.25,5.97326,3.019,30.83,49.0,24.93
2026-06-01 15:48:34,lht65-02,52.25,5.97326,3.019,31.61,41.3,24.93
2026-06-01 16:08:34,lht65-02,52.25,5.97326,3.019,28.86,49.6,25.0
2026-06-01 16:18:34,lht65-02,52.25,5.97326,3.019,28.82,49.8,25.0
2026-06-01 16:28:34,lht65-02,52.25,5.97326,3.021,29.51,52.2,25.0
2026-06-01 16:38:34,lht65-02,52.25,5.97326,3.023,29.86,50.7,25.0
2026-06-01 16:48:34,lht65-02,52.25,5.97326,3.019,29.45,50.3,25.0
2026-06-01 16:58:34,lht65-02,52.25,5.97326,3.021,29.0,54.2,25.0
2026-06-01 17:08:34,lht65-02,52.25,5.97326,3.021,28.66,55.8,25.0
2026-06-01 17:18:41,lht65-02,52.25,5.97326,3.019,28.12,56.3,25.0
2026-06-01 17:28:34,lht65-02,52.25,5.97326,3.019,27.52,56.3,25.0
2026-06-01 17:38:34,lht65-02,52.25,5.97326,3.023,26.83,58.8,24.93
2026-06-01 17:48:34,lht65-02,52.25,5.97326,3.021,26.03,62.0,24.87
2026-06-01 17:58:34,lht65-02,52.25,5.97326,3.023,25.38,62.3,24.87
