t_s,T_in_C,RH_in_pct,T_out_C,RH_out_pct,M1_open,M2_open,M3_open
12660,5.42,96.3,5.42,92.3,1,1,1
12720,5.43,96.3,5.43,92.4,1,1,1
12780,5.45,96.4,5.45,92.4,1,1,1
12840,5.47,96.4,5.47,92.4,1,1,1
12900,5.48,96.4,5.48,92.5,1,1,1
12960,5.50,96.5,5.50,92.5,1,1,1
13020,5.52,96.5,5.52,92.5,1,1,1
13080,5.53,96.5,5.53,92.6,1,1,1
13140,5.55,96.5,5.55,92.6,1,1,1
13200,5.57,96.6,5.57,92.6,1,1,1
13260,5.58,96.6,5.58,92.7,1,1,1
13320,5.60,96.6,5.60,92.7,1,1,1
13380,5.62,96.7,5.62,92.7,1,1,1
13440,5.63,96.7,5.63,92.8,1,1,1
13500,5.65,96.7,5.65,92.8,1,1,1
13560,5.67,96.7,5.67,92.8,1,1,1
13620,5.68,96.8,5.68,92.9,1,1,1
13680,5.70,96.8,5.70,92.9,1,1,1
13740,5.72,96.8,5.72,92.9,1,1,1
13800,5.73,96.9,5.73,93.0,1,1,1
13860,5.75,96.9,5.75,93.0,1,1,1
13920,5.77,96.9,5.77,93.0,1,1,1
13980,5.78,96.9,5.78,93.1,1,1,1
14040,5.80,97.0,5.80,93.1,1,1,1
14100,5.82,97.0,5.82,93.1,1,1,1
14160,5.83,97.0,5.83,93.2,1,1,1
14220,5.85,97.1,5.85,93.2,1,1,1
14280,5.87,97.1,5.87,93.2,1,1,1
14340,5.88,97.1,5.88,93.3,1,1,1
14400,5.90,97.1,5.90,93.3,1,1,1
14460,5.99,97.2,5.99,93.3,1,1,1
14520,6.07,97.2,6.07,93.4,1,1,1
14580,6.16,97.2,6.16,93.4,1,1,1
14640,6.25,97.2,6.25,93.4,1,1,1
14700,6.33,97.2,6.33,93.5,1,1,1
14760,6.42,97.2,6.42,93.5,1,1,1
14820,6.51,97.2,6.51,93.5,1,1,1
14880,6.59,97.2,6.59,93.5,1,1,1
14940,6.68,97.2,6.68,93.6,1,1,1
15000,6.77,97.2,6.77,93.6,1,1,1
15060,6.85,97.2,6.85,93.6,1,1,1
15120,6.94,97.2,6.94,93.7,1,1,1
15180,7.03,97.2,7.03,93.7,1,1,1
15240,7.11,97.3,7.11,93.7,1,1,1
15300,7.20,97.3,7.20,93.8,1,1,1
15360,7.29,97.3,7.29,93.8,1,1,1
15420,7.37,97.3,7.37,93.8,1,1,1
15480,7.46,97.3,7.46,93.8,1,1,1
15540,7.55,97.3,7.55,93.9,1,1,1
15600,7.63,97.3,7.63,93.9,1,1,1
15660,7.72,97.3,7.72,93.9,1,1,1
15720,7.81,97.3,7.81,94.0,1,1,1
15780,7.89,97.3,7.89,94.0,1,1,1
15840,7.98,97.3,7.98,94.0,1,1,1
15900,8.07,97.4,8.07,94.0,1,1,1
15960,8.15,97.4,8.15,94.1,1,1,1
16020,8.24,97.4,8.24,94.1,1,1,1
16080,8.33,97.4,8.33,94.1,1,1,1
16140,8.41,97.4,8.41,94.2,1,1,1
16200,8.50,97.4,8.50,94.2,1,1,1
16260,8.54,97.4,8.54,94.2,1,1,1
16320,8.58,97.3,8.58,94.1,1,1,1
16380,8.62,97.3,8.62,94.1,1,1,1
16440,8.66,97.2,8.66,94.0,1,1,1
16500,8.70,97.2,8.70,94.0,1,1,1
16560,8.74,97.1,8.74,94.0,1,1,1
16620,8.78,97.1,8.78,93.9,1,1,1
16680,8.82,97.0,8.82,93.9,1,1,1
16740,8.86,97.0,8.86,93.8,1,1,1
16800,8.90,96.9,8.90,93.8,1,1,1
16860,8.94,96.9,8.94,93.8,1,1,1
16920,8.98,96.8,8.98,93.7,1,1,1
16980,9.02,96.8,9.02,93.7,1,1,1
17040,9.06,96.7,9.06,93.6,1,1,1
17100,9.10,96.7,9.10,93.6,1,1,1
17160,9.14,96.6,9.14,93.6,1,1,1
17220,9.18,96.6,9.18,93.5,1,1,1
17280,9.22,96.5,9.22,93.5,1,1,1
17340,9.26,96.5,9.26,93.4,1,1,1
17400,9.30,96.4,9.30,93.4,1,1,1
17460,9.33,96.4,9.33,93.4,1,1,1
17520,9.37,96.4,9.37,93.3,1,1,1
17580,9.41,96.3,9.41,93.3,1,1,1
17640,9.45,96.3,9.45,93.2,1,1,1
17700,9.49,96.2,9.49,93.2,1,1,1
17760,9.53,96.2,9.53,93.2,1,1,1
17820,9.57,96.1,9.57,93.1,1,1,1
17880,9.61,96.1,9.61,93.1,1,1,1
17940,9.65,96.0,9.65,93.0,1,1,1
18000,9.69,96.0,9.69,93.0,1,1,1
18060,9.85,95.7,9.85,92.8,1,1,1
18120,10.03,95.4,10.03,92.5,1,1,1
18180,10.21,95.1,10.21,92.3,1,1,1
18240,10.39,94.8,10.39,92.0,1,1,1
18300,10.57,94.5,10.57,91.7,1,1,1
18360,10.75,94.2,10.75,91.5,1,1,1
18420,10.93,93.9,10.93,91.2,1,1,1
18480,11.12,93.6,11.12,90.9,1,1,1
18540,11.30,93.3,11.30,90.7,1,1,1
18600,11.48,93.0,11.48,90.4,1,1,1
18660,11.66,92.7,11.66,90.1,1,1,1
18720,11.84,92.4,11.84,89.9,1,1,1
18780,12.02,92.1,12.02,89.6,1,1,1
18840,12.20,91.8,12.20,89.3,1,1,1
18900,12.38,91.5,12.38,89.1,1,1,1
18960,12.56,91.2,12.56,88.8,1,1,1
19020,12.75,91.0,12.75,88.5,1,1,1
19080,12.93,90.7,12.93,88.3,1,1,1
19140,13.11,90.4,13.11,88.0,1,1,1
19200,13.29,90.1,13.29,87.7,1,1,1
19260,13.47,89.8,13.47,87.5,1,1,1
19320,13.65,89.5,13.65,87.2,1,1,1
19380,13.83,89.2,13.83,87.0,1,1,1
19440,14.01,94.3,14.01,86.7,1,1,0
19500,14.19,93.9,14.19,86.4,1,1,0
19560,14.38,93.6,14.38,86.2,1,1,0
19620,14.56,93.2,14.56,85.9,1,1,0
19680,14.74,92.9,14.74,85.6,1,1,0
19740,14.92,92.5,14.92,85.4,1,1,0
19800,15.10,92.2,15.10,85.1,1,1,0
19860,15.23,91.6,15.23,84.6,1,1,0
19920,15.36,91.1,15.36,84.1,1,1,0
19980,15.49,90.6,15.49,83.7,1,1,0
20040,15.62,90.0,15.62,83.2,1,1,0
20100,15.75,89.5,15.75,82.7,1,1,0
20160,15.88,88.9,15.88,82.2,1,1,0
20220,16.01,83.7,16.01,81.7,1,1,1
20280,16.14,83.5,16.14,81.3,0,1,1
20340,16.27,83.0,16.27,80.8,0,1,1
20400,16.40,82.5,16.40,80.3,0,1,1
20460,16.53,82.0,16.53,79.8,0,1,1
20520,16.66,81.5,16.66,79.3,0,1,1
20580,16.79,81.0,16.79,78.9,0,1,1
20640,16.92,80.5,16.92,78.4,0,1,1
20700,17.05,80.0,17.05,77.9,0,1,1
20760,17.18,79.5,17.18,77.4,0,1,1
20820,17.31,79.0,17.31,76.9,0,1,1
20880,17.44,78.5,17.44,76.5,0,1,1
20940,17.57,78.0,17.57,76.0,0,1,1
21000,17.70,87.1,17.70,75.5,0,1,0
21060,17.83,80.9,17.83,75.0,1,1,0
21120,17.96,80.4,17.96,74.5,1,1,0
21180,18.09,79.9,18.09,74.1,1,1,0
21240,18.22,79.4,18.22,73.6,1,1,0
21300,18.35,78.8,18.35,73.1,1,1,0
21360,18.48,78.3,18.48,72.6,1,1,0
21420,18.61,77.8,18.61,72.1,1,1,0
21480,18.74,77.2,18.74,71.7,1,1,0
21540,18.87,76.7,18.87,71.2,1,1,0
21600,19.00,76.2,19.00,70.7,1,1,0
21660,19.02,76.1,19.02,70.6,1,1,0
21720,19.03,76.1,19.03,70.6,1,1,0
21780,19.05,76.0,19.05,70.5,1,1,0
21840,19.07,75.9,19.07,70.4,1,1,0
21900,19.08,75.8,19.08,70.4,1,1,0
21960,19.10,75.8,19.10,70.3,1,1,0
22020,19.12,75.7,19.12,70.2,1,1,0
22080,19.13,75.6,19.13,70.2,1,1,0
22140,19.15,75.5,19.15,70.1,1,1,0
22200,19.17,75.5,19.17,70.0,1,1,0
22260,19.18,75.4,19.18,70.0,1,1,0
22320,19.20,75.3,19.20,69.9,1,1,0
22380,19.22,75.2,19.22,69.8,1,1,0
22440,19.24,75.2,19.23,69.8,1,1,0
22500,19.25,75.1,19.25,69.7,1,1,0
22560,19.27,75.0,19.27,69.6,1,1,0
22620,19.29,74.9,19.28,69.6,1,1,0
22680,19.31,79.9,19.30,69.5,0,1,0
22740,19.33,79.8,19.31,69.4,0,1,0
22800,19.35,79.7,19.33,69.4,0,1,0
22860,19.37,79.6,19.35,69.3,0,1,0
22920,19.38,79.6,19.36,69.2,0,1,0
22980,19.40,79.5,19.38,69.2,0,1,0
23040,19.42,79.4,19.40,69.1,0,1,0
23100,19.44,79.3,19.41,69.0,0,1,0
23160,19.46,79.2,19.43,69.0,0,1,0
23220,19.48,79.1,19.45,68.9,0,1,0
23280,19.50,79.0,19.46,68.8,0,1,0
23340,19.50,74.0,19.48,68.8,1,1,0
23400,19.52,73.9,19.50,68.7,1,1,0
23460,19.62,73.6,19.59,68.4,1,1,0
23520,19.73,73.3,19.71,68.1,1,1,0
23580,19.85,73.0,19.82,67.8,1,1,0
23640,19.96,72.6,19.94,67.5,1,1,0
23700,20.08,72.3,20.05,67.2,1,1,0
23760,20.19,71.9,20.16,66.9,1,1,0
23820,20.31,71.6,20.28,66.6,1,1,0
23880,20.42,71.2,20.39,66.3,1,1,0
23940,20.54,70.9,20.51,66.0,1,1,0
24000,20.69,75.0,20.62,65.7,0,1,0
24060,20.80,74.7,20.73,65.4,0,1,0
24120,20.92,74.3,20.85,65.1,0,1,0
24180,21.04,73.9,20.96,64.8,0,1,0
24240,21.16,73.5,21.08,64.5,0,1,0
24300,21.27,73.1,21.19,64.2,0,1,0
24360,21.39,72.7,21.30,63.9,0,1,0
24420,21.51,72.4,21.42,63.6,0,1,0
24480,21.63,72.0,21.53,63.3,0,1,0
24540,21.74,71.6,21.65,63.0,0,1,0
24600,21.86,71.2,21.76,62.7,0,1,0
24660,21.98,70.8,21.87,62.4,0,1,0
24720,22.10,70.5,21.99,62.1,0,1,0
24780,22.22,70.1,22.10,61.8,0,1,0
24840,22.33,69.7,22.22,61.5,0,1,0
24900,22.45,69.3,22.33,61.2,0,1,0
24960,22.57,68.9,22.44,60.9,0,1,0
25020,22.69,68.6,22.56,60.6,0,1,0
25080,22.81,68.2,22.67,60.3,0,1,0
25140,22.93,67.8,22.79,60.0,0,1,0
25200,23.04,67.4,22.90,59.7,0,1,0
25260,23.10,67.3,22.95,59.6,0,1,0
25320,23.15,67.2,23.00,59.6,0,1,0
25380,23.21,67.1,23.05,59.5,0,1,0
25440,23.26,67.0,23.10,59.5,0,1,0
25500,23.32,66.9,23.15,59.4,0,1,0
25560,23.37,66.8,23.20,59.4,0,1,0
25620,23.43,66.7,23.25,59.3,0,1,0
25680,23.49,66.6,23.30,59.3,0,1,0
25740,23.54,66.5,23.35,59.2,0,1,0
25800,23.60,66.4,23.40,59.2,0,1,0
25860,23.65,66.3,23.45,59.1,0,1,0
25920,23.71,66.2,23.50,59.1,0,1,0
25980,23.76,66.1,23.55,59.0,0,1,0
26040,23.82,66.0,23.60,59.0,0,1,0
26100,23.87,65.9,23.65,58.9,0,1,0
26160,23.93,65.8,23.70,58.8,0,1,0
26220,23.99,65.7,23.75,58.8,0,1,0
26280,24.04,65.6,23.80,58.7,0,1,0
26340,24.10,65.5,23.85,58.7,0,1,0
26400,24.15,65.4,23.90,58.6,0,1,0
26460,24.21,65.3,23.95,58.6,0,1,0
26520,24.27,65.2,24.00,58.5,0,1,0
26580,24.32,65.1,24.05,58.5,0,1,0
26640,24.38,65.0,24.10,58.4,0,1,0
26700,24.44,64.9,24.15,58.4,0,1,0
26760,24.49,64.8,24.20,58.3,0,1,0
26820,24.55,64.7,24.25,58.3,0,1,0
26880,24.61,64.6,24.30,58.2,0,1,0
26940,24.66,64.5,24.35,58.2,0,1,0
27000,24.72,64.4,24.40,58.1,0,1,0
27060,24.79,64.2,24.46,58.0,0,1,0
27120,24.85,64.1,24.52,57.9,0,1,0
27180,24.92,63.9,24.58,57.7,0,1,0
27240,24.99,63.7,24.64,57.6,0,1,0
27300,25.05,63.5,24.70,57.5,0,1,0
27360,25.12,63.4,24.76,57.4,0,1,0
27420,25.19,63.2,24.82,57.2,0,1,0
27480,25.26,63.0,24.88,57.1,0,1,0
27540,25.32,62.8,24.94,57.0,0,1,0
27600,25.39,62.7,25.00,56.9,0,1,0
27660,25.46,62.5,25.06,56.7,0,1,0
27720,25.53,62.3,25.12,56.6,0,1,0
27780,25.59,62.1,25.18,56.5,0,1,0
27840,25.66,62.0,25.24,56.4,0,1,0
27900,25.73,61.8,25.30,56.2,0,1,0
27960,25.80,61.6,25.36,56.1,0,1,0
28020,25.86,61.4,25.42,56.0,0,1,0
28080,25.93,61.3,25.48,55.9,0,1,0
28140,26.00,61.1,25.54,55.8,0,1,0
28200,26.07,60.9,25.60,55.6,0,1,0
28260,26.14,60.8,25.66,55.5,0,1,0
28320,26.20,60.6,25.72,55.4,0,1,0
28380,26.27,60.4,25.78,55.3,0,1,0
28440,26.34,60.2,25.84,55.1,0,1,0
28500,26.41,60.1,25.90,55.0,0,1,0
28560,26.48,59.9,25.96,54.9,0,1,0
28620,26.55,59.7,26.02,54.8,0,1,0
28680,26.61,59.5,26.08,54.6,0,1,0
28740,26.68,59.4,26.14,54.5,0,1,0
28800,26.75,59.2,26.20,54.4,0,1,0
28860,26.82,59.0,26.26,54.3,0,1,0
28920,26.89,58.8,26.32,54.2,0,1,0
28980,26.96,58.7,26.38,54.0,0,1,0
29040,27.03,58.5,26.44,53.9,0,1,0
29100,27.09,58.3,26.50,53.8,0,1,0
29160,27.16,58.1,26.56,53.7,0,1,0
29220,27.23,58.0,26.62,53.5,0,1,0
29280,27.30,57.8,26.68,53.4,0,1,0
29340,27.37,57.6,26.74,53.3,0,1,0
29400,27.44,57.5,26.80,53.2,0,1,0
29460,27.51,57.3,26.86,53.0,0,1,0
29520,27.58,57.1,26.92,52.9,0,1,0
29580,27.65,56.9,26.98,52.8,0,1,0
29640,27.72,56.8,27.04,52.7,0,1,0
29700,27.78,56.6,27.10,52.6,0,1,0
29760,27.85,56.4,27.16,52.4,0,1,0
29820,27.92,56.2,27.22,52.3,0,1,0
29880,27.99,56.1,27.28,52.2,0,1,0
29940,28.06,55.9,27.34,52.1,0,1,0
30000,27.78,53.9,27.40,51.9,1,1,0
30060,27.84,53.8,27.46,51.8,1,1,0
30120,27.91,53.7,27.52,51.7,1,1,0
30180,27.97,53.5,27.58,51.6,1,1,0
30240,28.04,53.4,27.64,51.4,1,1,0
30300,28.10,53.2,27.70,51.3,1,1,0
30360,28.17,53.1,27.76,51.2,1,1,0
30420,28.23,52.9,27.82,51.1,1,1,0
30480,28.30,52.8,27.88,50.9,1,1,0
30540,28.36,52.6,27.94,50.8,1,1,0
30600,28.43,52.5,28.00,50.7,1,1,0
30660,28.47,52.4,28.04,50.7,1,1,0
30720,28.52,52.4,28.08,50.6,1,1,0
30780,28.56,52.3,28.12,50.6,1,1,0
30840,28.61,52.3,28.16,50.6,1,1,0
30900,28.65,52.2,28.20,50.6,1,1,0
30960,28.70,52.2,28.24,50.5,1,1,0
31020,28.74,52.1,28.28,50.5,1,1,0
31080,28.79,52.1,28.32,50.5,1,1,0
31140,28.83,52.0,28.36,50.4,1,1,0
31200,28.87,52.0,28.40,50.4,1,1,0
31260,28.92,51.9,28.44,50.4,1,1,0
31320,28.96,51.8,28.48,50.3,1,1,0
31380,29.01,51.8,28.52,50.3,1,1,0
31440,29.05,51.7,28.56,50.3,1,1,0
31500,29.10,51.7,28.59,50.3,1,1,0
31560,29.14,51.6,28.63,50.2,1,1,0
31620,29.19,51.6,28.67,50.2,1,1,0
31680,29.23,51.5,28.71,50.2,1,1,0
31740,29.28,51.5,28.75,50.1,1,1,0
31800,29.32,51.4,28.79,50.1,1,1,0
31860,29.37,51.4,28.83,50.1,1,1,0
31920,29.41,51.3,28.87,50.0,1,1,0
31980,29.46,51.3,28.91,50.0,1,1,0
32040,29.50,51.2,28.95,50.0,1,1,0
32100,29.55,51.2,28.99,50.0,1,1,0
32160,29.59,51.1,29.03,49.9,1,1,0
32220,29.64,51.1,29.07,49.9,1,1,0
32280,29.69,51.0,29.11,49.9,1,1,0
32340,29.73,51.0,29.15,49.8,1,1,0
32400,29.78,50.9,29.19,49.8,1,1,0
32460,29.81,50.8,29.21,49.7,1,1,0
32520,29.83,50.7,29.23,49.6,1,1,0
32580,29.86,50.6,29.26,49.5,1,1,0
32640,29.88,50.4,29.28,49.4,1,1,0
32700,29.91,50.3,29.30,49.3,1,1,0
32760,29.93,50.2,29.32,49.2,1,1,0
32820,29.96,50.1,29.34,49.1,1,1,0
32880,29.99,49.9,29.36,49.0,1,1,0
32940,30.01,49.8,29.38,48.9,1,1,0
33000,30.04,49.7,29.40,48.8,1,1,0
33060,30.06,49.6,29.42,48.6,1,1,0
33120,29.63,48.8,29.44,48.5,1,1,1
33180,29.65,48.7,29.46,48.4,1,1,1
33240,29.67,48.6,29.48,48.3,1,1,1
33300,29.69,48.5,29.50,48.2,1,1,1
